#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_11_length_153230_cov_39.213473:103600-104142|- -            181 9809075              -            151   3.3e-43  144.8   1.1   1   1   1.3e-45   5.3e-43  144.1   1.1     2   150     5   179     4   180 0.83 NODE_11_length_153230_cov_39.213473_97 # 103600 # 104142 # -1 # ID=11_97;partial=00;start_type=ATG;rbs_motif=AAAAA;rbs_spacer=12bp;gc_cont=0.401
NODE_1_length_523019_cov_35.337313:180913-181452|-  -            180 9809075              -            151    0.0012   16.4   3.6   2   3      0.56   2.4e+02   -0.8   0.0    67    96    51    80    32    90 0.74 NODE_1_length_523019_cov_35.337313_159 # 180913 # 181452 # -1 # ID=1_159;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.485
NODE_1_length_523019_cov_35.337313:180913-181452|-  -            180 9809075              -            151    0.0012   16.4   3.6   3   3   1.5e-05    0.0062   14.1   1.6    94   132   121   158    46   165 0.86 NODE_1_length_523019_cov_35.337313_159 # 180913 # 181452 # -1 # ID=1_159;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.485
NODE_7_length_286996_cov_37.800226:108964-109500|+  -            179 9809075              -            151    0.0033   15.0   0.6   1   2     0.079        33    2.0   0.0    88   108    34    54    22    81 0.65 NODE_7_length_286996_cov_37.800226_78 # 108964 # 109500 # 1 # ID=7_78;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=7bp;gc_cont=0.460
NODE_7_length_286996_cov_37.800226:108964-109500|+  -            179 9809075              -            151    0.0033   15.0   0.6   2   2   0.00024       0.1   10.1   0.1    95   132   120   156   110   164 0.81 NODE_7_length_286996_cov_37.800226_78 # 108964 # 109500 # 1 # ID=7_78;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=7bp;gc_cont=0.460
NODE_6_length_338063_cov_36.607788:256035-256559|+  -            175 9809075              -            151     0.032   11.8   0.0   1   2   0.00046       0.2    9.2   0.0     3    25    15    37    13    43 0.89 NODE_6_length_338063_cov_36.607788_211 # 256035 # 256559 # 1 # ID=6_211;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=7bp;gc_cont=0.419
NODE_6_length_338063_cov_36.607788:256035-256559|+  -            175 9809075              -            151     0.032   11.8   0.0   2   2      0.32   1.4e+02   -0.0   0.0   103   132   128   154   123   159 0.64 NODE_6_length_338063_cov_36.607788_211 # 256035 # 256559 # 1 # ID=6_211;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=7bp;gc_cont=0.419
NODE_2_length_424706_cov_34.285840:132464-132988|+  -            175 9809075              -            151     0.033   11.7   1.2   1   2     0.034        14    3.1   0.1     2    51     5    53     4    70 0.71 NODE_2_length_424706_cov_34.285840_94 # 132464 # 132988 # 1 # ID=2_94;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=6bp;gc_cont=0.406
NODE_2_length_424706_cov_34.285840:132464-132988|+  -            175 9809075              -            151     0.033   11.7   1.2   2   2    0.0016      0.68    7.4   0.1    97   135   122   157   116   166 0.80 NODE_2_length_424706_cov_34.285840_94 # 132464 # 132988 # 1 # ID=2_94;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=6bp;gc_cont=0.406
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/kpchuang/Documents/03_whole_genome_assembly/01_raw_reads/short_reads_assembly/04_short_reads_assembly/04_busco_assessment/busco_downloads/lineages/bacteria_odb12/hmms/9809075at2.hmm
# Target file:     /home/kpchuang/Documents/03_whole_genome_assembly/01_raw_reads/short_reads_assembly/04_short_reads_assembly/04_busco_assessment/busco_results/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/kpchuang/Documents/03_whole_genome_assembly/01_raw_reads/short_reads_assembly/04_short_reads_assembly/04_busco_assessment/busco_results/auto_lineage/run_bacteria_odb12/hmmer_output/9809075at2.out --cpu 1 /home/kpchuang/Documents/03_whole_genome_assembly/01_raw_reads/short_reads_assembly/04_short_reads_assembly/04_busco_assessment/busco_downloads/lineages/bacteria_odb12/hmms/9809075at2.hmm /home/kpchuang/Documents/03_whole_genome_assembly/01_raw_reads/short_reads_assembly/04_short_reads_assembly/04_busco_assessment/busco_results/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/kpchuang/Documents/03_whole_genome_assembly/01_raw_reads/short_reads_assembly/04_short_reads_assembly/04_busco_assessment
# Date:            Thu Jan  1 15:37:30 2026
# [ok]
