#                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_44_length_13308_cov_36.472300:7186-9312|-    -            709 9804305              -            706         0 1013.8   1.2   1   1         0         0 1013.6   1.2     5   701     5   707     1   708 0.97 NODE_44_length_13308_cov_36.472300_5 # 7186 # 9312 # -1 # ID=44_5;partial=00;start_type=ATG;rbs_motif=TAAAA;rbs_spacer=8bp;gc_cont=0.453
NODE_33_length_37957_cov_36.578115:17176-19320|+  -            715 9804305              -            706      0.01   12.2   0.2   1   2      0.14   1.1e+02   -1.2   0.1   183   257   397   470   380   482 0.72 NODE_33_length_37957_cov_36.578115_18 # 17176 # 19320 # 1 # ID=33_18;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=11bp;gc_cont=0.491
NODE_33_length_37957_cov_36.578115:17176-19320|+  -            715 9804305              -            706      0.01   12.2   0.2   2   2   4.8e-05     0.037   10.3   0.0   600   662   610   671   592   711 0.72 NODE_33_length_37957_cov_36.578115_18 # 17176 # 19320 # 1 # ID=33_18;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=11bp;gc_cont=0.491
NODE_12_length_125646_cov_35.366054:84277-85254|+ -            326 9804305              -            706     0.053    9.8   0.0   1   1   9.2e-05     0.071    9.3   0.0   584   684    76   175    68   194 0.86 NODE_12_length_125646_cov_35.366054_82 # 84277 # 85254 # 1 # ID=12_82;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.410
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/kpchuang/Documents/03_whole_genome_assembly/01_raw_reads/short_reads_assembly/04_short_reads_assembly/04_busco_assessment/busco_downloads/lineages/bacteria_odb12/hmms/9804305at2.hmm
# Target file:     /home/kpchuang/Documents/03_whole_genome_assembly/01_raw_reads/short_reads_assembly/04_short_reads_assembly/04_busco_assessment/busco_results/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/kpchuang/Documents/03_whole_genome_assembly/01_raw_reads/short_reads_assembly/04_short_reads_assembly/04_busco_assessment/busco_results/auto_lineage/run_bacteria_odb12/hmmer_output/9804305at2.out --cpu 1 /home/kpchuang/Documents/03_whole_genome_assembly/01_raw_reads/short_reads_assembly/04_short_reads_assembly/04_busco_assessment/busco_downloads/lineages/bacteria_odb12/hmms/9804305at2.hmm /home/kpchuang/Documents/03_whole_genome_assembly/01_raw_reads/short_reads_assembly/04_short_reads_assembly/04_busco_assessment/busco_results/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/kpchuang/Documents/03_whole_genome_assembly/01_raw_reads/short_reads_assembly/04_short_reads_assembly/04_busco_assessment
# Date:            Thu Jan  1 15:37:29 2026
# [ok]
