#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_3_length_402718_cov_33.543387:294359-295270|+ -            304 36608                -            304   8.6e-92  305.3   6.8   1   1   1.7e-94     1e-91  305.1   6.8     3   301     2   300     1   302 0.97 NODE_3_length_402718_cov_33.543387_279 # 294359 # 295270 # 1 # ID=3_279;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=6bp;gc_cont=0.410
NODE_18_length_83461_cov_37.247170:66672-68147|-   -            492 36608                -            304     0.019   11.9   0.1   2   3      0.11        66    0.3   0.3   229   265   265   301   257   305 0.76 NODE_18_length_83461_cov_37.247170_55 # 66672 # 68147 # -1 # ID=18_55;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=11bp;gc_cont=0.482
NODE_18_length_83461_cov_37.247170:66672-68147|-   -            492 36608                -            304     0.019   11.9   0.1   3   3   3.3e-05     0.019   11.9   0.1   225   270   321   369   317   398 0.84 NODE_18_length_83461_cov_37.247170_55 # 66672 # 68147 # -1 # ID=18_55;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=11bp;gc_cont=0.482
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/kpchuang/Documents/03_whole_genome_assembly/01_raw_reads/short_reads_assembly/04_short_reads_assembly/04_busco_assessment/busco_downloads/lineages/archaea_odb12/hmms/36608at2157.hmm
# Target file:     /home/kpchuang/Documents/03_whole_genome_assembly/01_raw_reads/short_reads_assembly/04_short_reads_assembly/04_busco_assessment/busco_results/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/kpchuang/Documents/03_whole_genome_assembly/01_raw_reads/short_reads_assembly/04_short_reads_assembly/04_busco_assessment/busco_results/auto_lineage/run_archaea_odb12/hmmer_output/36608at2157.out --cpu 1 /home/kpchuang/Documents/03_whole_genome_assembly/01_raw_reads/short_reads_assembly/04_short_reads_assembly/04_busco_assessment/busco_downloads/lineages/archaea_odb12/hmms/36608at2157.hmm /home/kpchuang/Documents/03_whole_genome_assembly/01_raw_reads/short_reads_assembly/04_short_reads_assembly/04_busco_assessment/busco_results/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/kpchuang/Documents/03_whole_genome_assembly/01_raw_reads/short_reads_assembly/04_short_reads_assembly/04_busco_assessment
# Date:            Thu Jan  1 15:36:30 2026
# [ok]
